match_id,date,season,matchday,home_team,away_team,home_score,away_score,home_xg,away_xg,stadium,referee,status
CL2021_MD1_001,2021-09-14,2021,1,Manchester City,RB Leipzig,6,3,2.8,1.2,Etihad Stadium,Sergei Karasev,finished
CL2021_MD1_002,2021-09-14,2021,1,Paris Saint-Germain,Club Brugge,1,1,1.5,0.8,Parc des Princes,Jesus Gil Manzano,finished
CL2021_MD1_003,2021-09-14,2021,1,Real Madrid,Inter Milan,0,1,1.2,0.9,Santiago Bernabeu,Anthony Taylor,finished
CL2021_MD1_004,2021-09-14,2021,1,Liverpool,AC Milan,3,2,2.1,1.3,Anfield,Daniel Siebert,finished
CL2021_MD1_005,2021-09-15,2021,1,Bayern Munich,Barcelona,3,0,2.5,0.6,Allianz Arena,Daniele Orsato,finished
CL2021_MD1_006,2021-09-15,2021,1,Atletico Madrid,Porto,0,0,1.1,0.7,Wanda Metropolitano,Clement Turpin,finished
CL2021_MD1_007,2021-09-15,2021,1,Ajax,Besiktas,2,0,1.8,0.5,Johan Cruijff Arena,Ovidiu Hategan,finished
CL2021_MD1_008,2021-09-15,2021,1,Borussia Dortmund,Sporting CP,1,0,1.4,0.6,Signal Iduna Park,Srdjan Jovanovic,finished
CL2021_MD1_009,2021-09-28,2021,2,RB Leipzig,Club Brugge,1,2,1.3,1.1,Red Bull Arena,Andreas Ekberg,finished
CL2021_MD1_010,2021-09-28,2021,2,Manchester City,Paris Saint-Germain,2,2,2.2,1.8,Etihad Stadium,Carlos del Cerro Grande,finished
CL2021_MD1_011,2021-09-28,2021,2,Inter Milan,Shakhtar Donetsk,2,0,1.6,0.8,San Siro,Ovidiu Hategan,finished
CL2021_MD1_012,2021-09-28,2021,2,Real Madrid,Sheriff Tiraspol,1,2,2.1,0.9,Santiago Bernabeu,Lawrence Visser,finished
CL2021_MD1_013,2021-09-29,2021,2,AC Milan,Atletico Madrid,1,2,1.2,1.5,San Siro,Szymon Marciniak,finished
CL2021_MD1_014,2021-09-29,2021,2,Porto,Liverpool,1,5,0.8,2.4,Estadio do Dragao,Antonio Mateu Lahoz,finished
CL2021_MD1_015,2021-09-29,2021,2,Barcelona,Benfica,3,0,2.3,0.7,Camp Nou,Daniele Orsato,finished
CL2021_MD1_016,2021-09-29,2021,2,Bayern Munich,Dynamo Kyiv,5,0,3.1,0.3,Allianz Arena,Halil Umut Meler,finished
CL2021_MD1_017,2021-10-19,2021,3,Club Brugge,Manchester City,1,4,0.9,2.6,Jan Breydel Stadium,Jose Maria Sanchez Martinez,finished
CL2021_MD1_018,2021-10-19,2021,3,Paris Saint-Germain,RB Leipzig,3,2,2.4,1.1,Parc des Princes,Bjorn Kuipers,finished
CL2021_MD1_019,2021-10-19,2021,3,Shakhtar Donetsk,Real Madrid,0,5,0.6,2.8,NSC Olimpiyskiy,Anthony Taylor,finished
CL2021_MD1_020,2021-10-19,2021,3,Sheriff Tiraspol,Inter Milan,1,3,0.8,1.9,Stadionul Zimbru,Deniz Aytekin,finished
CL2021_MD1_021,2021-10-20,2021,3,Atletico Madrid,AC Milan,0,1,1.0,1.3,Wanda Metropolitano,Daniel Siebert,finished
